,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
2,False,/a0x89EyyjaUWnbczsqbVZJKYgUD.jpg,"[28, 16]",556901,en,Teen Titans Go! vs. Teen Titans,"In Teen Titans Go! vs Teen Titans, the comedic modern-day quintet takes on their 2003 counterparts when villains from each of their worlds join forces to pit the two Titan teams against each other. They'll need to set aside their differences and work together to combat Trigon, Hexagon, Santa Claus (that's right, Santa!) and time itself in order to save the multiverse.",32.46,/jFE4ZeXNIDU6c0PAFhKJ1WlL7Oo.jpg,2019-07-21,Teen Titans Go! vs. Teen Titans,False,8.0,359
3,False,/gSpADcISuvwNnFBaVkg95OARMq1.jpg,[99],836691,en,Shark Beach With Chris Hemsworth,Chris Hemsworth has a real passion for sharks. The Hollywood star talks to experts to find out more about the apex predators of the oceans.,32.457,/lnx1DMYg4hUU16rH9kOmMQECBeE.jpg,2021-07-05,Shark Beach With Chris Hemsworth,False,6.4,4
4,False,/rwcEaZghpbt6mV0lRQ9ymz5oM9B.jpg,"[18, 80]",640,en,Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",32.456,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,2002-12-25,Catch Me If You Can,False,7.9,11796
5,False,/bo6sDyChG4KRLMypeI6sUpD8XgT.jpg,"[10749, 18]",479957,es,Desearás al hombre de tu hermana,"Lucía and Ofelia, two sisters, finally meet after 7 years of cold relationships upon Lucia 's wedding. But when Juan, Lucia's husband, and Ofelia meet, they feel like a disruptive fantasy have enchanted their minds and bodies...",32.454,/jnTYASRVkL5QPLeM0FeojTGRbgV.jpg,2017-10-05,Desire,False,5.8,105
6,False,/7gQifzQYDnaFodQfMc91I9SarEh.jpg,"[16, 28]",699174,ja,NARUTO ナルティメットヒーロー3 ついに激突! 上忍VS下忍!! 無差別大乱戦大会開催!!,"A contest is made by the Fifth Hokage called Jonin vs Genin. The point is to collect crystals for points, with the higher-ranked Chunin and Jonin holding crystals worth more points. The Genin have blue crystals, while the Chunin and Jonin have red crystals.",32.445,/yMWZt4Hm7feYMT5EpVxXLDW7BPo.jpg,2005-12-22,Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!,False,4.5,8
7,False,/af2duhAt9evRkxzkhxjgQ1naOM6.jpg,"[28, 878, 12]",38356,en,Transformers: Dark of the Moon,"The Autobots continue to work for NEST, now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl, it becomes apparent to Optimus Prime that the United States government has been less than forthright with them.",32.442,/yUqm7eke9oL0ZmKJfgIJLs8WNuJ.jpg,2011-06-28,Transformers: Dark of the Moon,False,6.1,6657
8,False,/1yAtke4amRvHlzj4nzDtwOC2hJl.jpg,"[37, 35]",347969,en,The Ridiculous 6,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",32.428,/kPc80jywR5Nm2KIQjkY5i4VXSx4.jpg,2015-12-11,The Ridiculous 6,False,5.1,1068
9,False,/m3lJ0cuR0EXHSYUqiQsnc6G1pu4.jpg,"[10749, 18, 53, 80]",43539,en,The Next Three Days,"A married couple's life is turned upside down when the wife is accused of murdering her boss. Her husband John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. When the strain of being separated from her husband and son gets to her, John decides to find a way to break her out.",32.422,/rXWk1S0Ka7WtkIbi5grCxaY98Dl.jpg,2010-11-18,The Next Three Days,False,7.1,2232
10,False,/sqlQt6Orr2hEOb7fekhjCefhiED.jpg,"[18, 35]",397422,en,Rough Night,"Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up, they're ultimately brought closer together when it matters most.",32.365,/ttC00xcQ5UIO04kU8y0h5OAIYYJ.jpg,2017-06-15,Rough Night,False,5.7,1686
11,False,/5ZoFGrFCKP0QrcfVwOIHiAwunBg.jpg,"[18, 10749, 14]",122906,en,About Time,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",32.343,/iR1bVfURbN7r1C46WHFbwCkVve.jpg,2013-09-04,About Time,False,7.9,6571
12,False,/hi40n5GoKUghpkUEyiHCLpVOgRz.jpg,"[16, 10751]",168903,en,Barbie in the Pink Shoes,"Dance your way to a magical adventure with Barbie as Kristyn, a ballerina with big dreams! When she tries on a pair of sparkling pink shoes, she and her best friend, Hailey, are whisked away to a fantastical ballet world. There, Kristyn discovers she must dance in her favorite ballets in order to defeat an evil Snow Queen. With performances to the legendary Giselle and Swan Lake ballets, it's a wonderful journey where if you dance with your heart, dreams come true!",32.312,/1wBaiset3LLsbAarLlEkwlKyi5t.jpg,2013-02-14,Barbie in the Pink Shoes,False,6.8,278
13,False,/aWmMWZ9rDNCXmXVXuHbEm1sX0jK.jpg,[27],9730,en,Friday the 13th: The Final Chapter,"After being mortally wounded and taken to the morgue, murderer Jason Voorhees spontaneously revives and embarks on a killing spree as he makes his way back to his home at Crystal Lake.",32.307,/5KRBkaF6PdorcFjWiDY4tJy67Jf.jpg,1984-04-13,Friday the 13th: The Final Chapter,False,6.1,906
14,False,/eHEGPHKHTVhWdXzBQcrTATz9M0I.jpg,"[28, 35, 80]",238713,en,Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",32.277,/vPBmfMHxQvRRNGYD5S5ko2KnX56.jpg,2015-05-06,Spy,False,6.8,5092
15,False,/zAKjsCP45VLJLAp236fBgua5J3p.jpg,"[28, 18, 9648, 53, 80]",7485,en,Shooter,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why??",32.219,/tyRP8JedrDkPPvH3JxKYsdP2esu.jpg,2007-03-22,Shooter,False,7.1,3660
16,False,/6ljxY3k2Or1iEpjwBlrAuaGUIlK.jpg,"[16, 18, 10749]",198375,ja,言の葉の庭,"Takao, who is training to become a shoemaker, skipped school and is sketching shoes in a Japanese-style garden. He meets a mysterious woman, Yukino, who is older than him. Then, without arranging the times, the two start to see each other again and again, but only on rainy days. They deepen their relationship and open up to each other. But the end of the rainy season soon approaches...",32.217,/8ciSABYn5ANts75wny70HGIyrz5.jpg,2013-05-31,The Garden of Words,False,7.6,1463
17,False,/oTXIEUqVqGTtdpaNEaC8cJwDtfs.jpg,"[18, 28, 53]",459910,en,Braven,A logger defends his family from a group of dangerous drug runners.,32.207,/253Bw5I3Zj3e2thCThjO7byEUCL.jpg,2018-02-01,Braven,False,6.2,771
18,False,/4dmEpmTdXJffmD0FM90WNY3vd3C.jpg,"[16, 28, 14]",28609,ja,ドラゴンボールＺ オラの悟飯をかえせッ!!,"In order to wish for immortality and avenge his father, Garlic Jr. collects the dragon balls, kidnapping Goku's son Gohan in the process. Goku, Kami, Piccolo, and Krillin unite to rescue Gohan and save the world from being sucked into a dead zone.",32.202,/ywtyEDTM2YO7qod7USNNwhrAfvA.jpg,1989-07-15,Dragon Ball Z: Dead Zone,False,6.6,390
19,False,/kdrLxbTG0qCTbeAvzCUXBhPVONg.jpg,"[27, 53, 80]",663,en,Saw IV,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.",32.194,/wd6mhwDjlpeOufuMUF1FAeMliWZ.jpg,2007-10-25,Saw IV,False,6.2,2793
