country,time,value
United States,2008-Q1,16439483.7
United States,2008-Q2,16533566.1
United States,2008-Q3,16446451.9
United States,2008-Q4,16087409.9
United States,2009-Q1,15899875.3
United States,2009-Q2,15872966.7
United States,2009-Q3,15930415.7
United States,2009-Q4,16100546.5
United States,2010-Q1,16181057.8
United States,2010-Q2,16337642.7
United States,2010-Q3,16463956.2
United States,2010-Q4,16549502.1
United States,2011-Q1,16509631.7
United States,2011-Q2,16621575.4
United States,2011-Q3,16615131.7
United States,2011-Q4,16801500
United States,2012-Q1,16938923.3
United States,2012-Q2,17016141.1
United States,2012-Q3,17045899.4
United States,2012-Q4,17064622.3
United States,2013-Q1,17212707.3
United States,2013-Q2,17236699.3
United States,2013-Q3,17373154.2
United States,2013-Q4,17496707
United States,2014-Q1,17435449.4
United States,2014-Q2,17659343
United States,2014-Q3,17865067.6
United States,2014-Q4,17945280.6
United States,2015-Q1,18091232
United States,2015-Q2,18196161.4
United States,2015-Q3,18255002.8
United States,2015-Q4,18281697.9
United States,2016-Q1,18389410
United States,2016-Q2,18445017.5
United States,2016-Q3,18555893.3
United States,2016-Q4,18648095.5
United States,2017-Q1,18736101.6
United States,2017-Q2,18840979.7
United States,2017-Q3,18976474.6
United States,2017-Q4,19154929.4
United States,2018-Q1,19301053.5
United States,2018-Q2,19462007.1
United States,2018-Q3,19555804.7
United States,2018-Q4,19599441.9
United States,2019-Q1,19716605.5
United States,2019-Q2,19872943.3
United States,2019-Q3,20009172.1
United States,2019-Q4,20103034.6
United States,2020-Q1,19840974.9
United States,2020-Q2,18067737.3
United States,2020-Q3,19431406
United States,2020-Q4,19648120
United States,2021-Q1,19949500.4
United States,2021-Q2,20276821.2
United States,2021-Q3,20382650.9
