areaCode,areaName,areaType,date,cumVaccinationCompleteCoverageByVaccinationDatePercentage
E12000001,North East,region,5/12/2021,32.3
E12000001,North East,region,5/11/2021,31.3
E12000001,North East,region,5/10/2021,30.8
E12000001,North East,region,5/9/2021,30.5
E12000001,North East,region,5/8/2021,30.1
E12000001,North East,region,5/7/2021,29.2
E12000001,North East,region,5/6/2021,28.3
E12000001,North East,region,5/5/2021,27.3
E12000001,North East,region,5/4/2021,26.5
E12000001,North East,region,5/3/2021,26.2
E12000001,North East,region,5/2/2021,26.1
E12000001,North East,region,5/1/2021,25.8
E12000001,North East,region,4/30/2021,25.1
E12000001,North East,region,4/29/2021,24.5
E12000001,North East,region,4/28/2021,23.7
E12000001,North East,region,4/27/2021,22.9
E12000001,North East,region,4/26/2021,22.3
E12000001,North East,region,4/25/2021,22
E12000001,North East,region,4/24/2021,21.5
E12000001,North East,region,4/23/2021,20.5
E12000001,North East,region,4/22/2021,19.8
E12000001,North East,region,4/21/2021,19.1
E12000001,North East,region,4/20/2021,18.4
E12000001,North East,region,4/19/2021,17.9
E12000001,North East,region,4/18/2021,17.6
E12000001,North East,region,4/17/2021,17.3
E12000001,North East,region,4/16/2021,16.6
E12000001,North East,region,4/15/2021,15.8
E12000001,North East,region,4/14/2021,15.2
E12000001,North East,region,4/13/2021,14.6
E12000001,North East,region,4/12/2021,14.3
E12000001,North East,region,4/11/2021,13.9
E12000001,North East,region,4/10/2021,13.6
E12000001,North East,region,4/9/2021,12.6
E12000001,North East,region,4/8/2021,11.8
E12000001,North East,region,4/7/2021,11.1
E12000001,North East,region,4/6/2021,10.5
E12000001,North East,region,4/5/2021,10.3
E12000001,North East,region,4/4/2021,10.2
E12000001,North East,region,4/3/2021,10.1
E12000001,North East,region,4/2/2021,9.8
E12000001,North East,region,4/1/2021,9.4
E12000001,North East,region,3/31/2021,8.5
E12000001,North East,region,3/30/2021,7.8
E12000001,North East,region,3/29/2021,7.3
E12000001,North East,region,3/28/2021,6.9
E12000001,North East,region,3/27/2021,6.6
E12000001,North East,region,3/26/2021,6
E12000001,North East,region,3/25/2021,5.6
E12000001,North East,region,3/24/2021,5.1
E12000001,North East,region,3/23/2021,4.7
E12000001,North East,region,3/22/2021,4.4
E12000001,North East,region,3/21/2021,4.2
E12000001,North East,region,3/20/2021,4.1
E12000001,North East,region,3/19/2021,3.8
E12000001,North East,region,3/18/2021,3.5
E12000001,North East,region,3/17/2021,3.1
E12000001,North East,region,3/16/2021,2.8
E12000001,North East,region,3/15/2021,2.6
E12000001,North East,region,3/14/2021,2.5
E12000001,North East,region,3/13/2021,2.5
E12000001,North East,region,3/12/2021,2.4
E12000001,North East,region,3/11/2021,2.2
E12000001,North East,region,3/10/2021,2.1
E12000001,North East,region,3/9/2021,1.8
E12000001,North East,region,3/8/2021,1.7
E12000001,North East,region,3/7/2021,1.6
E12000001,North East,region,3/6/2021,1.6
E12000001,North East,region,3/5/2021,1.6
E12000001,North East,region,3/4/2021,1.5
E12000001,North East,region,3/3/2021,1.5
E12000001,North East,region,3/2/2021,1.4
E12000001,North East,region,3/1/2021,1.3
E12000001,North East,region,2/28/2021,1.3
E12000001,North East,region,2/27/2021,1.2
E12000001,North East,region,2/26/2021,1.1
E12000001,North East,region,2/25/2021,1.1
E12000001,North East,region,2/24/2021,1.1
E12000001,North East,region,2/23/2021,1.1
E12000001,North East,region,2/22/2021,1.1
E12000001,North East,region,2/21/2021,1.1
E12000001,North East,region,2/20/2021,1.1
E12000001,North East,region,2/19/2021,1.1
E12000001,North East,region,2/18/2021,1.1
E12000001,North East,region,2/17/2021,1.1
E12000001,North East,region,2/16/2021,1.1
E12000001,North East,region,2/15/2021,1.1
E12000001,North East,region,2/14/2021,1.1
E12000001,North East,region,2/13/2021,1.1
E12000001,North East,region,2/12/2021,1.1
E12000001,North East,region,2/11/2021,1.1
E12000001,North East,region,2/10/2021,1.1
E12000001,North East,region,2/9/2021,1
E12000001,North East,region,2/8/2021,1
E12000001,North East,region,2/7/2021,1
E12000001,North East,region,2/6/2021,1
E12000001,North East,region,2/5/2021,1
E12000001,North East,region,2/4/2021,1
