,iso,country,year,rgdpe,pop,gdpcap,value,total,perc_dir,direct,indirect,continent
55,ISL,Iceland,2015,16865.3457,0.330243,51069.50247,57,0.351386807,62.37467494,0.219176378,0.132210428,Europe
56,ISR,Israel,2015,306598.5938,7.97849,38428.1479,53.5,0.320231847,61.18264031,0.195926299,0.124305548,Asia
57,ITA,Italy,2015,2296760.75,60.578494,37913.79743,46.4,0.432414989,66.2211283,0.286350085,0.146064904,Europe
58,JAM,Jamaica,2015,24266.26367,2.891021,8393.665654,29.9,0.243371674,37.13364879,0.090372783,0.152998891,North America
59,JOR,Jordan,2015,89490.35156,9.266575,9657.327714,33.8,0.150187977,24.35171458,0.036573347,0.113614629,Asia
60,JPN,Japan,2015,5094436,127.985133,39804.90453,54,0.303946601,77.9092224,0.236802434,0.067144168,Asia
61,KAZ,Kazakhstan,2015,412876.625,17.572016,23496.2582,31.2,0.158912501,,,,Asia
62,KEN,Kenya,2015,160624.5625,47.878336,3354.848475,30.2,0.162599309,49.84980426,0.081055437,0.081543872,Africa
63,KGZ,Kyrgyzstan,2015,23777.39258,5.959121,3990.083869,28,0.253019938,44.3678659,0.112259547,0.140760391,Asia
64,KHM,Cambodia,2015,52112.45703,15.521436,3357.450756,30.4,0.145828784,23.08826824,0.033669341,0.112159443,Asia
65,KWT,Kuwait,2015,196175.0625,3.835591,51145.9805,33.2,0.011603284,,,,Asia
66,LBN,Lebanon,2015,96227.72656,6.532678,14730.21119,33.8,0.136463222,40.93131768,0.055856195,0.080607027,Asia
67,LKA,Sri Lanka,2015,242116.1563,20.908027,11580.05757,30.8,0.125188789,20.26389453,0.025368124,0.099820665,Asia
68,LSO,Lesotho,2015,6286.059082,2.059021,3052.935877,27,0.334238628,35.83778981,0.119783737,0.214454891,Africa
69,LTU,Lithuania,2015,87529.28906,2.93188,29854.32182,42.3,0.28993504,60.75469384,0.176149146,0.113785894,Europe
70,LUX,Luxembourg,2015,60377.27734,0.566741,106534.1617,59,0.383428552,73.59138944,0.282170399,0.101258153,Europe
71,LVA,Latvia,2015,51517.39063,1.997674,25788.68756,45.5,0.301884044,55.98298702,0.169003705,0.132880339,Europe
72,MAR,Morocco,2015,254067.5,34.663603,7329.517938,33.2,0.21211499,37.67748656,0.079919597,0.132195435,Africa
73,MDG,Madagascar,2015,39040.92578,24.234088,1610.99216,24.4,0.089453092,23.7849217,0.021276348,0.068176744,Africa
74,MEX,Mexico,2015,2303864.75,121.858258,18906.10278,38,0.127823936,51.83553765,0.066258225,0.061565712,North America
75,MKD,North Macedonia,2015,29697.72656,2.079328,14282.36746,38,0.251899083,51.70454545,0.130243276,0.121655807,Europe
76,MLI,Mali,2015,35516.17969,17.438778,2036.620897,28.4,0.139718343,30.55889145,0.042696377,0.097021966,Africa
77,MLT,Malta,2015,17455.76172,0.433559,40261.56006,50.5,0.303025108,59.34859781,0.179841152,0.123183855,Europe
78,MMR,Myanmar,2015,239945.6406,52.680726,4554.714007,20.3,0.078883215,,,,Asia
79,MNE,Montenegro,2015,10165.24805,0.626956,16213.65462,41.2,0.360601915,44.38543247,0.16005472,0.200547196,Europe
80,MNG,Mongolia,2015,33554.57422,2.998439,11190.68096,36.4,0.221205777,42.74555751,0.094555642,0.12669333,Asia
81,MOZ,Mozambique,2015,34358.85547,27.042002,1270.573661,30.1,0.201643251,41.99066874,0.08467135,0.116971902,Africa
82,MUS,Mauritius,2015,25619.56055,1.259456,20341.76704,39.2,0.089216942,25.59407592,0.022834252,0.06638269,Africa
83,MWI,Malawi,2015,17621.91797,16.745303,1052.349902,29.7,0.151732601,48.6531351,0.073822667,0.077909934,Africa
84,MYS,Malaysia,2015,762343.125,30.270962,25183.97417,46,0.140568644,61.38683881,0.086290647,0.054277997,Asia
85,NAM,Namibia,2015,25070.7168,2.314904,10830.13239,28.1,0.335018046,37.8523682,0.126812264,0.208205781,Africa
86,NER,Niger,2015,22709.95898,20.001663,1135.40354,21.2,0.119618437,,,,Africa
88,NIC,Nicaragua,2015,32373.40625,6.22324,5202.01796,23.5,0.22308141,51.81111114,0.115580958,0.107500453,North America
89,NLD,Netherlands,2015,872643.75,16.938499,51518.36358,61.6,0.374644932,69.02339579,0.258592654,0.116052278,Europe
90,NOR,Norway,2015,321281.7188,5.199836,61786.89458,53.8,0.385457685,69.20883838,0.266770786,0.118686899,Europe
91,NPL,Nepal,2015,67591.47656,27.015031,2501.995151,21.1,0.146862954,25.03349795,0.036764935,0.110098017,Asia
92,NZL,New Zealand,2015,174613.6563,4.614532,37839.94915,55.9,0.332114496,61.92767047,0.205670771,0.126443726,Oceania
94,PAK,Pakistan,2015,899937.125,199.426964,4512.615079,23.1,0.114025716,37.70919817,0.042998183,0.071027533,Asia
95,PAN,Panama,2015,99589.21875,3.968487,25095.00945,36.8,0.149,,,,North America
96,PER,Peru,2015,357451.0938,30.470734,11730.96433,34.9,0.148874369,41.7375601,0.062136529,0.08673784,South America
97,PHL,Philippines,2015,723229.1875,102.113212,7082.621076,31.1,0.130196082,46.6104463,0.060684975,0.070104187,Asia
98,POL,Poland,2015,1069768.375,38.034079,28126.57499,40.2,0.333931298,63.9311527,0.213486128,0.12044517,Europe
99,PRT,Portugal,2015,314019.625,10.368351,30286.36135,46.6,0.36951986,61.88911083,0.228692556,0.140827304,Europe
100,PRY,Paraguay,2015,78029.14844,6.688746,11665.73651,30.7,0.107533409,29.37702978,0.031590122,0.075943288,South America
102,ROU,Romania,2015,439606.8125,19.925175,22062.88339,38.2,0.279931594,53.7570807,0.150483053,0.129448541,Europe
103,RUS,Russian Federation,2015,3773719,144.985057,26028.33063,39.3,0.292511693,,,0.123215542,Europe
104,RWA,Rwanda,2015,21442.20703,11.369071,1886.012237,30.1,0.151755477,40.56419704,0.061558391,0.090197086,Africa
105,SAU,Saudi Arabia,2015,1675710.75,31.717667,52832.09355,40.7,0.016710753,,,,Asia
106,SDN,Sudan,2015,157643.4375,38.90295,4052.223225,15,0.060233112,10.81967213,0.006517025,0.053716087,Africa
107,SEN,Senegal,2015,43040.23828,14.578459,2952.317408,31,0.152909397,28.89250486,0.044179355,0.108730042,Africa
108,SGP,Singapore,2015,451476.4375,5.592152,80733.93525,59.4,0.131415961,52.73445432,0.06930149,0.062114471,Asia
109,SLV,El Salvador,2015,48471.03906,6.325124,7663.255149,29.3,0.167528565,35.77599316,0.059935008,0.107593557,North America
110,SRB,Serbia,2015,108470.875,7.095383,15287.52923,36.5,0.324448091,,,0.17334798,Europe
111,SVK,Slovakia,2015,170226.1406,5.435611,31316.83644,43,0.32883803,64.64211548,0.212567859,0.116270158,Europe
112,SVN,Slovenia,2015,68875.17969,2.071199,33253.77218,48.5,0.376155535,60.75783192,0.228543948,0.147611587,Europe
113,SWE,Sweden,2015,511993.375,9.76495,52431.74568,62.4,0.432428755,70.87038721,0.306463933,0.124499501,Europe
114,SYC,Seychelles,2015,2446.976318,0.094978,25763.61177,36.4,0.295986333,33.7357814,0.099853302,0.170067305,Africa
